"contestant_2","song_2","result_2"
"Taylor Hicks","""Easy""(The Commodores)","Safe"
"Elliott Yamin","""Moody's Mood for Love""(James Moody)","Safe"
"Ace Young","""If You're Not the One""(Daniel Bedingfield)","Safe"
"Gedeon McKinney","""A Change Is Gonna Come""(Sam Cooke)","Safe"
"Kevin Covais","""I Heard It Through the Grapevine""(The Miracles)","Bottom three"
"Sway Penala","""Overjoyed""(Stevie Wonder)","Eliminated"
"Will Makar","""Lady""(Kenny Rogers)","Safe"
"Bucky Covington","""The Thunder Rolls""(Garth Brooks)","Safe"
"David Radford","""The Way You Look Tonight""(Fred Astaire)","Eliminated"
"Chris Daughtry","""Hemorrhage (In My Hands)""(Fuel)","Safe"
NA,NA,NA
