"contestant_2","song_original_artist_2","result_2"
"Carly Smithson","""Crazy on You"" (Heart)","Safe"
"Syesha Mercado","""Me and Mrs. Jones""  (Billy Paul)","Safe"
"Brooke White","""You're So Vain"" (Carly Simon)","Safe"
"Ramiele Malubay","""Don't Leave Me This Way"" (Harold Melvin & the Blue Notes)","Safe"
"Kristy Lee Cook","""You're No Good""  (Betty Everett)","Safe"
"Amanda Overmyer","""Carry On Wayward Son"" (Kansas)","Safe"
"Alaina Whitaker","""Hopelessly Devoted to You"" (Olivia Newton-John)","Eliminated"
"Alexandréa Lushington","""If You Leave Me Now""  (Chicago)","Eliminated"
"Kady Malloy","""Magic Man"" (Heart)","Safe"
"Asia'h Epperson","""All by Myself""  (Eric Carmen)","Safe"
