"order","contestant","song","song_theme","result"
"1","Jurnee","""Kiss""","Prince.Song","Eliminated"
"10","Gabby Barrett","""How Come U Don't Call Me Anymore?""","Prince.Song","Safe"
"11","Jurnee","""Back at One""","Birth.Year.Song","Eliminated"
"12","Catie Turner","""Manic Monday""","Prince.Song","Eliminated"
"13","Maddie Poppe","""If It Makes You Happy""","Birth.Year.Song","Safe"
"14","Caleb Lee Hutchinson","""When Doves Cry""","Prince.Song","Safe"
"2","Gabby Barrett","""I Hope You Dance""","Birth.Year.Song","Safe"
"3","Michael J. Woodard","""I Would Die 4 U""","Prince.Song","Safe"
"4","Cade Foehner","""Who Will Save Your Soul""","Birth.Year.Song","Safe"
"5","Catie Turner","""Oops!... I Did It Again""","Birth.Year.Song","Eliminated"
"6","Caleb Lee Hutchinson","""Amazed""","Birth.Year.Song","Safe"
"7","Maddie Poppe","""Nothing Compares 2 U""","Prince.Song","Safe"
"8","Michael J. Woodard","""My Heart Will Go On""","Birth.Year.Song","Safe"
"9","Cade Foehner","""Jungle Love""","Prince.Song","Safe"
